key,forms,path
subanta:hari:pum:4:1,haraye,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.78 8.4.68
subanta:hari:pum:4:2,hariByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.4.68
subanta:hari:pum:4:3,hariByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:5:1,hareH,1.2.45 4.1.2 1.3.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:5:2,hariByAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.4.68
subanta:hari:pum:5:3,hariByaH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:6:1,hareH,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.111 6.1.110 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:6:2,haryoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:6:3,harIRAm,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 7.1.54 1.3.2 1.3.3 1.3.9 1.4.13 1.4.17 1.4.14 6.4.3 8.4.2 8.4.68
subanta:hari:pum:7:1,harO,1.2.45 4.1.2 1.3.8 1.3.9 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 7.3.119 6.1.88 8.4.68
subanta:hari:pum:7:2,haryoH,1.2.45 4.1.2 1.3.4 1.4.7 1.4.7 1.4.13 1.4.18 1.4.14 6.1.77 8.2.66 1.3.2 8.3.15 8.4.68
subanta:hari:pum:7:3,harizu,1.2.45 4.1.2 1.3.3 1.3.9 1.4.7 1.4.7 1.4.13 1.4.17 1.4.14 8.3.59 8.4.68
subanta:hari:pum:8:1,hare,1.2.45 4.1.2 1.3.2 1.3.9 1.4.7 2.3.48 2.3.49 1.1.43 1.4.7 2.3.48 2.3.49 1.1.43 1.4.13 1.4.14 7.3.108 6.1.69 8.4.68
subanta:hari:pum:8:2,harI,1.2.45 4.1.2 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101 8.4.68
subanta:hari:pum:8:3,harayaH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.4.7 2.3.48 1.1.43 1.4.7 2.3.48 1.1.43 1.4.13 1.4.14 7.3.109 6.1.78 8.2.66 1.3.2 8.3.15 8.4.68
subanta:SamBu:pum:1:1,SamBuH,1.2.45 4.1.2 1.3.2 1.3.9 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 8.2.66 1.3.2 8.3.15 8.3.24 8.4.58 8.4.68
subanta:SamBu:pum:1:2,SamBU,1.2.45 4.1.2 1.4.7 1.1.43 1.4.7 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101 8.3.24 8.4.58 8.4.68
